Dialogue_ID,Utterance,true_emotion,Predicted_Emotion,Second_Predicted_Emotion,window_size
9,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,anger,surprise,0
9,"Oh well, it’s not so bad.",neutral,anger,anger,0
9,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,sadness,fear,0
9,Oh!,surprise,anger,surprise,0
9,My God!,surprise,surprise,joy,0
9,"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,surprise,neutral,0
9,Excuse me?,surprise,surprise,anger,0
9,Joey! He’s working!  You would look,anger,no valid emotion found,neutral,0
9,"Oh, how bad is it?",sadness,no valid emotion found,neutral,0
9,"Oh, it’s bad. It’s really bad. The only thing in there that isn’t burned is an ass. Which I do",sadness,surprise,surprise,0
9,How’s your room Rach?,neutral,surprise,surprise,0
9,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,surprise,neutral,0
9,Isn’t that mine?,neutral,surprise,surprise,0
9,Fine! I’m sorry for your loss!,anger,surprise,surprise,0
9,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?",neutral,disgust,fear,0
9,"Wow! Oh-okay, look pal, I am",joy,disgust,disgust,0
9,"Yes, they can stay with us.",neutral,no valid emotion found,neutral,0
9,Have you figured out what started the fire Mr. Fireman?,neutral,anger,sadness,0
10,There’s just so much pressure.,anger,sadness,sadness,0
10,"I mean no offense, but what you guys do is very different.",neutral,sadness,neutral,0
10,I don’t know if you’d understand.,neutral,sadness,sadness,0
10,"Yeah, none of us have to deal with pressure at our jobs.",neutral,neutral,neutral,0
11,"Well Phoebe, we gotta do something!",sadness,no valid emotion found,fear,0
11,I mean there’s no way Joey’s gonna make it in time.,fear,neutral,neutral,0
11,So I’m gonna go through the hotel and see if there’s any other weddings going on.,neutral,fear,surprise,0
11,Okay. Oh but don’t tell them Monica’s pregnant because they frown on that.,neutral,sadness,sadness,0
11,Okay.,neutral,neutral,neutral,0
12,"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,surprise,neutral,0
12,"Ross, we can handle this.",neutral,sadness,neutral,0
12,"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,surprise,neutral,0
12,"I mean, enough of the silliness!",anger,joy,joy,0
12,"Well, why don’t you tell her to stop being silly!",anger,neutral,joy,0
12,Okay-okay!,anger,joy,joy,0
12,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,joy,joy,0
12,Do you really want to throw that all away over a room?,sadness,surprise,disgust,0
12,That is so silly.,joy,anger,neutral,0
12,"Now wh-what is more important, love or silliness?",neutral,sadness,sadness,0
12,"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,anger,anger,0
12,Love is the best medicine.,joy,anger,anger,0
12,That’s laughter.,joy,joy,joy,0
12,Why do you do it?,neutral,joy,joy,0
12,I don’t know.,neutral,sadness,anger,0
12,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,joy,neutral,0
12,"Yeah, I do.",neutral,joy,neutral,0
12,"And Mon, you wanna live with Chandler, don’t ya?",neutral,joy,joy,0
12,Yes.,neutral,joy,joy,0
12,Good! A verbal contract is binding in the state of New York!,joy,joy,joy,0
13,Oh.,neutral,neutral,surprise,0
13,"But I don't. Me, Phoebe.",neutral,surprise,neutral,0
13,"Well, I'm not I'm not at all surprised they feel that way.",neutral,joy,joy,0
13,"You're not? See, that's why you're so great!",surprise,anger,disgust,0
13,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,anger,disgust,0
13,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,anger,neutral,0
13,Define me!,anger,sadness,sadness,0
13,"Love me, I need love!",anger,surprise,neutral,0
14,Have you really done this before?,surprise,surprise,surprise,0
14,Yeah!,joy,joy,joy,0
14,Yeah!,joy,joy,joy,0
14,Yeah!,joy,surprise,joy,0
14,"You just take a big, big swing.",neutral,joy,joy,0
14,"Now, don’t hold back.",neutral,joy,joy,0
14,Hey!,joy,joy,joy,0
14,Hey-hey-hey!,joy,joy,joy,0
14,What are you doing?,neutral,joy,neutral,0
14,We’re just celebrating that Joey got his health insurance back.,joy,joy,joy,0
14,"Oh, all right.",neutral,neutral,neutral,0
15,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",joy,fear,fear,0
15,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,joy,fear,anger,0
15,Okay!,joy,anger,neutral,0
15,Bye!,neutral,neutral,neutral,0
15,Bye!,neutral,anger,neutral,0
15,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger,anger,anger,0
16,"Hey, Joey, could you pass the cheese?",neutral,anger,neutral,0
16,"Listen uh, I’d prefer it if you didn’t call me Joey.",neutral,anger,anger,0
16,"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",neutral,anger,neutral,0
16,"Hey, dragon! Here’s your tips from Monday and Tuesday.",neutral,anger,neutral,0
16,There’s like-there’s like 300 bucks in this one!,surprise,neutral,neutral,0
16,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,joy,neutral,0
16,Could the waiters gather around to hear tonight’s specials?,neutral,joy,surprise,0
16,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?",neutral,joy,joy,0
16,Because we can remember them.,neutral,surprise,neutral,0
16,Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,anger,anger,0
17,Hey. When you guys were kids and you played,neutral,anger,fear,0
17,I was always Joanne.,neutral,anger,sadness,0
17,"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?",neutral,surprise,neutral,0
17,Ewww! Oh! It’s the Mattress King!,disgust,neutral,neutral,0
17,Don’t look honey. Change the channel! Change the channel!,disgust,neutral,neutral,0
17,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,neutral,anger,0
17,What a wank!,anger,neutral,neutral,0
17,"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger,sadness,neutral,0
17,I know!,anger,sadness,anger,0
17,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,anger,neutral,0
17,And I’m appalled for you by the way.,anger,anger,anger,0
17,"You had to do it, didn’t you? You couldn’t just leave it alone.",sadness,joy,joy,0
17,Four percent. Okay. I tip more than that when there’s a bug in my food.,disgust,sadness,sadness,0
17,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,anger,sadness,0
17,"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,anger,neutral,0
17,"Hey Pheebs, what are you doing?",neutral,anger,anger,0
17,"I’m, I’m freaking out!",fear,anger,neutral,0
17,Monica kinda trusted me with something and she shouldn’t have!,fear,neutral,neutral,0
17,"All right, I haven’t lived here in a while, so I have to ask you something.",neutral,joy,anger,0
17,Does Monica still turn on the lights in her bedroom?,neutral,surprise,surprise,0
17,Um. yeah.,neutral,surprise,disgust,0
17,I am,neutral,anger,fear,0
17,"All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay.",neutral,anger,joy,0
17,"So, I’ll invite him to brunch tomorrow and you can make nice.",neutral,anger,disgust,0
17,"Look, honey, I have tried to make nice, it doesn’t work.",anger,anger,disgust,0
17,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,anger,sadness,0
17,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,disgust,disgust,0
17,Like me tiny doctor!’,anger,anger,disgust,0
17,"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,anger,anger,0
17,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger,anger,disgust,0
17,"Okay, well you are just gonna have too, okay.",anger,no valid emotion found,anger,0
17,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger,disgust,disgust,0
17,"Okay, okay, okay.  I’ll get the bagels.",neutral,surprise,neutral,0
18,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral,disgust,neutral,0
18,"All right, then you'd better show me some of that too then.",neutral,neutral,surprise,0
18,"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral,neutral,neutral,0
19,Really? A purse?,surprise,surprise,surprise,0
20,It's not a purse! It's a shoulder bag.,anger,anger,neutral,0
20,It looks like a women's purse.,neutral,surprise,surprise,0
20,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,surprise,surprise,0
20,"See look,",neutral,surprise,joy,0
20,Exactly! Unisex!,neutral,neutral,disgust,0
20,Maybe you need sex.,neutral,anger,surprise,0
20,No! No Joey! U-N-I-sex.,joy,joy,joy,0
20,"Well, I ain't gonna say no to that.",neutral,surprise,anger,0
21,"So, um, have you told your parents?",neutral,sadness,sadness,0
21,"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral,joy,joy,0
21,Here you go.,neutral,surprise,surprise,0
21,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral,neutral,fear,0
21,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",sadness,neutral,neutral,0
21,I love you Phoebe.,joy,sadness,neutral,0
21,So your brother's straigh huh? Seriously.,surprise,sadness,sadness,0
22,Hey!,joy,sadness,sadness,0
22,Hi.,neutral,sadness,neutral,0
22,"I just came over to drop off…nothing. So that weekend kinda sucked, huh?",neutral,sadness,sadness,0
22,"Yeah, it did.",joy,surprise,sadness,0
22,"So, I guess this is over.",sadness,sadness,neutral,0
22,What?,neutral,sadness,surprise,0
22,"Well, y'know, you and me, it had to end sometime.",sadness,sadness,sadness,0
22,"Why, exactly?",surprise,surprise,surprise,0
22,"Because of the weekend, we had a fight.",sadness,surprise,surprise,0
22,Chandler that's crazy!,surprise,anger,fear,0
22,If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger,joy,joy,0
22,"So, this isn't over?",neutral,anger,anger,0
22,You are so cute!,joy,anger,anger,0
22,No.,joy,anger,neutral,0
22,"No, it was a fight.",neutral,neutral,neutral,0
22,You deal with it and move on!,joy,joy,joy,0
22,It's nothing to freak out about.,neutral,surprise,neutral,0
22,Really? Okay. Great!,joy,surprise,surprise,0
22,"Ohh, welcome to an adult relationship!",joy,sadness,fear,0
22,We're in a relationship?,surprise,neutral,neutral,0
22,I'm afraid so.,neutral,joy,neutral,0
22,Okay.,neutral,sadness,neutral,0
23,Hi!,joy,neutral,neutral,0
23,So you like the short hair better.,neutral,neutral,neutral,0
23,What? Yeti—I mean Danny?,neutral,surprise,surprise,0
24,Can I tell you a little secret?,neutral,surprise,joy,0
24,Yeah!,joy,surprise,joy,0
24,I want to keep one.,neutral,joy,surprise,0
24,"Ohh, I'm gonna be on the news!",joy,joy,surprise,0
25,What? Honey.,neutral,anger,anger,0
25,"Oh, I am, my side still hurts from when you crashed into me yesterday.",neutral,anger,neutral,0
25,"Oh God, I’m so sorry.",sadness,anger,disgust,0
25,I know.,neutral,joy,neutral,0
25,Ow!!,anger,joy,joy,0
25,Oh God!,surprise,joy,joy,0
25,"Hey, you guys! Guess what?",joy,surprise,surprise,0
25,Got a job on a river boat?,neutral,surprise,surprise,0
25,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger,anger,neutral,0
25,"Oh I see, so this suit is making a point.",neutral,surprise,surprise,0
25,"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger,anger,anger,0
25,You like it right?,neutral,sadness,sadness,0
25,Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,neutral,surprise,neutral,0
25,"Yeah, come here!",neutral,surprise,surprise,0
25,What-what was it you were gonna tell us?,neutral,surprise,joy,0
25,Yeah. Oh! Was how you invented the cotton gin?!,neutral,surprise,surprise,0
25,"Okay, good bye!",anger,surprise,surprise,0
26,Hey I got one! I got one!,joy,joy,joy,0
27,Hi!,joy,neutral,neutral,0
27,Hi.,neutral,joy,neutral,0
28,"Oh uh, up or down?",neutral,anger,neutral,0
28,Oh down please.  I-I hate to be a ball buster can I just do it?,joy,sadness,neutral,0
28,Could you press up too please?,neutral,sadness,neutral,0
28,Sure! I feel so bad for you. I broke my leg once too.,sadness,surprise,joy,0
28,Oh yeah? How’d yours happen?,neutral,fear,fear,0
28,"Well, it’s a long story.",neutral,surprise,neutral,0
28,It’s kind of embarrassing.,neutral,neutral,neutral,0
28,Let’s just say there was a typographical error with a sex manual.,joy,fear,anger,0
28,How about you?,neutral,neutral,neutral,0
28,Car accident.,sadness,sadness,sadness,0
28,"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",neutral,neutral,neutral,0
28,"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",neutral,neutral,neutral,0
28,"Uh-huh, yeah.",neutral,no valid emotion found,disgust,0
28,"Well umm, if you have sometime y’know and maybe you might want to visit someone else",neutral,surprise,surprise,0
28,Oh yeah! I-I would like that.,joy,neutral,neutral,0
28,Wait! What?! No!! Elevator!! No!,anger,anger,sadness,0
28,"Uh, you gotta press the button.",neutral,anger,anger,0
29,"Oh we did, and you still have all your lamps.",neutral,anger,neutral,0
29,"Oh, I didn't factor in the room tax.",surprise,joy,joy,0
29,"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral,sadness,surprise,0
29,Oh my god.,surprise,sadness,neutral,0
29,What?,surprise,neutral,surprise,0
29,There's something new in the bowl.,surprise,joy,joy,0
29,"Look, we have enough, just walk away.",fear,joy,surprise,0
29,"No, but I want...I want the pinecones!",joy,neutral,neutral,0
29,There's a forest right outside.,neutral,surprise,neutral,0
29,It's not the same.,neutral,joy,joy,0
29,"Ok, go quick!",fear,surprise,surprise,0
29,Thank you for a delightful stay.,joy,surprise,surprise,0
29,"Oh, my maple candy!",joy,surprise,surprise,0
30,"Oh my God, what happened?",surprise,sadness,neutral,0
30,"Oh. God, crazy Chandler. He spun me...off...the...bed!",joy,surprise,surprise,0
30,Wow! Spinning that sounds like fun.,joy,surprise,surprise,0
30,"Oh,  I wish. No, you know he was just trying Ross's Hug and Roll thing.",joy,surprise,surprise,0
30,Ross's what?,surprise,fear,surprise,0
30,"You know what, where he hugs you and kinda rolls you away and... Oh... my....God.",disgust,joy,joy,0
31,"Whoops.  Oh, hey, do you need help with that?",neutral,surprise,surprise,0
32,"Yes!! Yes! Yes! Yes!! That’s my Dad, that’s Frank! Yeah! I’m sorry I’m getting all flingy.",surprise,joy,joy,0
32,"Take it easy--if you want, there’s cookies on the counter, or, or--sangria!  I can make sangria!",joy,joy,joy,0
32,"No-no, sorry. Cookies are good, thanks.",neutral,neutral,neutral,0
32,Oh.,neutral,surprise,surprise,0
32,"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?",neutral,sadness,sadness,0
32,"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.",sadness,sadness,sadness,0
32,"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral,sadness,sadness,0
32,"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral,surprise,neutral,0
32,"Oh, what? What was it?",surprise,surprise,surprise,0
32,The three losers.,sadness,anger,disgust,0
32,"Oh, poor Lily.",sadness,sadness,sadness,0
32,"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.",sadness,sadness,sadness,0
32,"Yeah, no, it was great.",joy,sadness,joy,0
33,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",sadness,neutral,neutral,0
33,Go back in time and listen to Phoebe!,anger,joy,disgust,0
33,"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral,joy,joy,0
33,Ok.,neutral,disgust,disgust,0
33,It worked!,surprise,sadness,anger,0
33,Oh  oh no just stopped to throw up a little bit.,sadness,sadness,anger,0
33,"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.",sadness,surprise,neutral,0
33,"Umm, she Rach, not it, she.",neutral,anger,fear,0
33,"Yeah, I’m not so sure.",neutral,anger,disgust,0
33,"Oh my god, I am losing my mind.",anger,no valid emotion found,surprise,0
33,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",anger,surprise,joy,0
34,"Well, you’re not.",neutral,anger,surprise,0
34,"Oh, it’s so easy for you I mean, you’re not married, you get to have sex with who ever you want!",disgust,sadness,neutral,0
34,"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!",joy,sadness,neutral,0
34,"Monica. You’ve, you’ve done it right?",surprise,no valid emotion found,neutral,0
34,"Of course I have! What do you think, I’m some 30 year old virgin?",anger,sadness,sadness,0
34,Oh my God! You’re a 30 year old virgin!,surprise,no valid emotion found,anger,0
34,"Say it louder, I don’t think the guy all the way in the back heard you!",disgust,no valid emotion found,joy,0
34,"It’s not like, I haven’t any opportunities.",anger,joy,surprise,0
34,"I mean, y’know, I’m just waiting for the perfect guy.",neutral,anger,neutral,0
34,"I’m seeing this guy Roger, all right?",neutral,anger,anger,0
34,"He’s not perfect, but umm, I think maybe I should just get it over with.",neutral,anger,neutral,0
34,"Y’know, give him my flower.",neutral,anger,anger,0
34,"Oh my God!! Do it!! Honey, you’ve waited",surprise,anger,disgust,0
34,Y’know what? You are right?!,surprise,anger,anger,0
34,I mean sex does not have to be a big deal!,anger,anger,anger,0
34,There shouldn’t be all this rules and restrictions!,anger,anger,anger,0
34,"Y’know, people should be able to sleep with who ever they want, whenever",neutral,surprise,fear,0
34,Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,anger,anger,anger,0
34,Oh what do you know? Virgin!,anger,anger,surprise,0
35,"Push, push!",neutral,surprise,neutral,0
35,We're here!,joy,surprise,surprise,0
35,Where have you been?,neutral,anger,joy,0
35,"Long story, honey.",neutral,neutral,anger,0
35,"All right, Carol, I need you to keep pushing. I need— Excuse me, could I have this?",neutral,neutral,neutral,0
36,C'mon up.,neutral,anger,neutral,0
36,Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,anger,anger,anger,0
37,"So, I hear, you hate me!",anger,anger,anger,0
37,"I, ah, I never said hate, I was very careful about that.",neutral,anger,neutral,0
37,A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger,anger,surprise,0
37,And you got a 'hate' from that?! Your taking a big leap there...,fear,anger,surprise,0
37,"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",anger,neutral,anger,0
37,"So, this is my idea: you and me spending some quality time together.",neutral,joy,joy,0
37,But what does that gonna do...,anger,surprise,neutral,0
37,For Chandler!,anger,joy,joy,0
38,"Guess what, I got an audition!",joy,joy,joy,0
38,"Awww, one of my students got an audition. I’m so proud.",joy,joy,joy,0
38,I was wondering if you would consider coaching me for it?,neutral,joy,joy,0
38,You bet! What’s the part?,joy,joy,neutral,0
38,"Oh it’s great, it’s a role on",joy,joy,joy,0
39,"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral,neutral,surprise,0
39,I thought he was with you.,neutral,neutral,neutral,0
39,"He-he was with me umm, we’re playing a little game, y’know? Hide and seek.",neutral,anger,neutral,0
39,"You can’t ask us son, that’s cheating.",neutral,joy,neutral,0
39,"You’re right, thanks for keeping me honest dad.",neutral,anger,fear,0
39,"Well, he better not come by here. He can’t see the bride in the wedding dress.",neutral,surprise,surprise,0
39,"As I recall when we got married, I saw the groom in the wedding dress.",joy,surprise,neutral,0
39,"But that was after the wedding, it’s not bad luck then.",neutral,surprise,sadness,0
39,"Honey, it isn’t good luck.",neutral,surprise,surprise,0
39,Oh my God! Monica!,surprise,joy,joy,0
39,"I know! Hey, how’s Chandler doin’?",neutral,joy,joy,0
39,Great. He’s doing great. Don’t you worry about Chandler.,neutral,surprise,neutral,0
40,Yeah baby!,joy,surprise,fear,0
40,"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",neutral,joy,joy,0
41,"So, we did okay at the strip club, right?",neutral,surprise,joy,0
41,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",anger,joy,neutral,0
41,I can’t believe it! He still hasn’t called.,anger,surprise,anger,0
41,"Who, Josh?",surprise,sadness,sadness,0
41,It’s Joshua.,anger,surprise,neutral,0
41,"What, he doesn’t like Josh?",surprise,surprise,surprise,0
41,"No, I don’t.",disgust,surprise,surprise,0
41,"All right, well I’m gonna put my sweats back on.",neutral,anger,neutral,0
41,Oh no!,surprise,surprise,neutral,0
41,Wait!,surprise,fear,sadness,0
41,"Okay, y’know what, you were right, you were right.",sadness,surprise,fear,0
41,"We really weren’t great at being guys, but you know why?",sadness,sadness,neutral,0
41,Because we’re girls.,neutral,joy,sadness,0
42,"Thank you, thanks.",joy,surprise,surprise,0
42,"Yeah, I lost it.",sadness,anger,neutral,0
42,"Y’know, I’m not gonna play anymore,  would you, can you finish my set?",neutral,sadness,joy,0
42,"After that? Yeah! No, I mean if I can help.",surprise,sadness,anger,0
42,"Yeah, like I could",neutral,sadness,neutral,0
42,What?,surprise,anger,neutral,0
42,I played bad on purpose guys.,joy,joy,sadness,0
42,"Okay, so you were trying to play bad this whole time.",surprise,surprise,anger,0
42,"Yeah—no, just that last song.",neutral,no valid emotion found,neutral,0
43,"Oh, I was thinking about having people over for the game.",neutral,joy,joy,0
43,"Oh yeah, who’s playing?",neutral,joy,joy,0
43,The players.,neutral,neutral,neutral,0
43,Somebody seems to be missing being the hostess.,neutral,sadness,sadness,0
43,"Please, it’s a relief is what it is, is what it is.",neutral,sadness,joy,0
43,"All right Pheebs, stick out your plate!",neutral,joy,joy,0
43,Oh.,neutral,surprise,surprise,0
44,Whose is it?,neutral,neutral,neutral,0
44,I don’t want to say.,neutral,anger,anger,0
44,"Oh, come on! I don’t care! Come on! Whose is it?",joy,anger,anger,0
44,Diane Keaton.,neutral,anger,neutral,0
45,Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,anger,anger,anger,0
45,"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral,surprise,joy,0
45,"No, Phoebe, I’ll tell you what, if you get ready now I’ll let you play it at the wedding.",neutral,surprise,joy,0
45,Really?!,surprise,surprise,surprise,0
45,Oh that’s so exciting!,joy,joy,joy,0
45,Thanks Mon!,joy,anger,joy,0
45,"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",anger,anger,anger,0
45,"Fair enough, now go get ready!",neutral,anger,neutral,0
45,"I’ll get everybody else , finally we can start celebrating my— I’m sorry, uh apparently I’ve opened the door to the past.",neutral,surprise,surprise,0
46,"My best shoes, so good to me.",joy,joy,joy,0
46,I wear them everyday.,joy,sadness,sadness,0
46,"Down at the heel, holes in the toes.",joy,disgust,disgust,0
46,Don’t care what people say.,joy,neutral,neutral,0
46,"My feet’s best friends, pals to the end.",joy,no valid emotion found,joy,0
46,With them I’m one hot chicky.,joy,joy,joy,0
46,"Though late one night, not much light, I....",neutral,surprise,fear,0
46,I stepped in something icky.,joy,disgust,disgust,0
46,"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",joy,disgust,joy,0
47,"God, it’s gonna so weird like when I come home and you’re not here.",sadness,surprise,neutral,0
