episode,true_emotion,utterance,Predicted_Emotion,Second_Predicted_Emotion,window_size
2,scared,"I don't know what to do. What am I gonna do? I mean, this, this is like a complete nightmare.",joyful,neutral,1
2,mad,"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight.",mad,neutral,1
2,peaceful,"Hey, here's a thought, Ross.",mad,joyful,1
2,mad,Don't touch the computer. Don't ever touch the computer.,mad,neutral,1
2,joyful,"Ross, listen. I got two words for you. Threesome.",mad,mad,1
2,peaceful,"Ok, all right, look. Let's get logical about this, ok? We'll make a list. Rachel and Julie, pros and cons. Oh. We'll put their names in bold, with different fonts, and I can use different colors for each column.",mad,neutral,1
2,neutral,Can't we just use a pen?,mad,neutral,1
2,joyful,"No, Amish boy.",sad,mad,1
2,neutral,"Ok, let's start with the cons, 'cause they're more fun. All right, Rachel first.",sad,mad,1
2,peaceful,"I don't know. I mean, all right, I guess you can say she's a little spoiled sometimes.",mad,mad,1
2,neutral,You could say that.,neutral,mad,1
2,peaceful,"And I guess, you know, sometimes, she's a little ditzy, you know. And I've seen her be a little too into her looks. Oh, and Julie and I, we have a lot in common 'cause we're both paleontologists, but Rachel's just a waitress.",mad,neutral,1
2,joyful,Waitress. Got it. You guys wanna play Doom? Or we could keep doing this. What else?,mad,mad,1
2,neutral,I don't know.,mad,joyful,1
2,joyful,"Oh, her ankles are a little chubby.",mad,joyful,1
2,neutral,"Ok, let's do Julie. What's wrong with her?",neutral,neutral,1
2,sad,She's not Rachel.,joyful,neutral,1
2,neutral,"Ok, this is pumpkin pie with mockolate cookie crumb crust. This is mockolate cranberry cake, and these are mockolate chip cookies. Just like the Indians served.",joyful,neutral,1
2,mad,Oh my god.,joyful,neutral,1
2,scared,Oh my god good?,sad,neutral,1
2,mad,"Oh my god, I can't believe you let me put this in my mouth.",mad,joyful,1
2,sad,"Oh, oh sweet Lord! This is what evil must taste like!",neutral,mad,1
2,joyful,"My diary! My diary, that's brilliant. I should have told her it was my diary, she never would have made me read her my diary.",scared,neutral,1
2,powerful,"You know, that's true. You'd be a great person to have around the day after an emergency.",scared,neutral,1
2,scared,I... I cannot believe Ross even made this list. What a dinkus.,mad,neutral,1
2,neutral,"Hey, cut him some slack. It was Chandler's idea.",sad,neutral,1
2,neutral,What?,joyful,mad,1
2,neutral,What?,joyful,sad,1
2,joyful,"Oh good, I was hoping that would come up.",joyful,sad,1
2,neutral,This was your idea?,joyful,sad,1
2,neutral,What were you thinking?,neutral,mad,1
2,peaceful,"All right, let's get some perspective here, ok? These things, they happen for a reason.",joyful,joyful,1
2,neutral,Yeah. You!,joyful,neutral,1
2,scared,"All right, Pheebs, back me up here, ok? You believe in that karma crap, don't you?",sad,neutral,1
2,neutral,"Yeah, by the way, good luck in your next life as a dung beetle.",neutral,neutral,1
2,scared,"Rach! Whoops! Rach, hey, open up, please!",mad,neutral,1
2,mad,"When somebody does not buzz you in, Ross, that means go away. That doesn't mean please climb up the fire escape.",mad,neutral,1
2,neutral,I just wanna read something. It's your pro list.,joyful,sad,1
2,mad,Not interested.,neutral,sad,1
2,neutral,"Ok, ok, number one: The way you cry at game shows. Number two: how much you love your friends. Number three: the way you play with your hair when you're nervous. Number four: how brave you are for starting your life over. Number five: how great you are with Ben.",joyful,neutral,1
2,peaceful,Number six: the way you smell.,joyful,neutral,1
2,peaceful,"Hey, Ross! What are you doin'?",mad,neutral,1
2,neutral,"Hey, Joey. You wanna open the window?",mad,neutral,1
2,joyful,"Oh, yeah, I do.",mad,neutral,1
2,neutral,What are you doing out there?,mad,sad,1
2,scared,"I am, uh, I am...",mad,neutral,1
2,peaceful,"Oh, you must be freezing. You know what you need? How about a nice steaming cup of hot Mockolate?",mad,neutral,1
2,scared,"Rach, come on, open up. Rach, come on, come on, Rach. You got to give me another chance.",mad,neutral,1
2,mad,No.,powerful,sad,1
2,scared,No?,powerful,mad,1
2,mad,That's what I said.,neutral,neutral,1
2,scared,"Look, maybe we should go?",mad,neutral,1
2,mad,"No, you guys, you really don't have to go, we're done talking.",mad,neutral,1
2,scared,"Rach, come on, look, I know how you must feel.",mad,neutral,1
2,sad,"No, you don't, Ross. Imagine the worst things you think about yourself. Now, how would you feel if the one person that you trusted the most in the world not only thinks them too, but actually uses them as reasons not to be with you.",mad,neutral,1
2,peaceful,"No, but, but I wanna be with you in spite of all those things.",mad,joyful,1
2,sad,"Oh, well, that's, that's mighty big of you, Ross. I said don't go!",mad,joyful,1
2,peaceful,"You know what? You know what? If, things were the other way around, there's nothing you could put on a list that would ever make me not want to be with you.",mad,joyful,1
2,scared,"Well, then, I guess that's the difference between us. See, I'd never make a list.",sad,joyful,1
2,scared,"I never know how long you're supposed to wait in this type of a situation before you can talk again, you know? Maybe a little longer.",mad,joyful,1
2,neutral,"Now, in some of these recipes, the quantities may seem just a little unusual, uh, like these coconut mockolate holiday nut bars. I've indicated four cups of coconut, and four cups of crushed nut, and only, uh, one tablespoon of mockolate.",joyful,joyful,1
2,neutral,Doesn't matter.,joyful,neutral,1
2,scared,What?,no valid emotion found in the response.,mad,1
2,sad,Our FDA approval didn't come through. Something about laboratory rats.,neutral,joyful,1
2,sad,"Oh, gosh, I'm sorry.",joyful,joyful,1
2,sad,"Yeah, well, anyhoo, here is your check. Thank you for all the trouble you went through. Um, listen, you didn't eat a lot of it while you were cooking, did you?",neutral,neutral,1
2,scared,"Well, uh, I ate some.",scared,scared,1
2,neutral,"Oh, some, that's fine. Some is fine. Some is not a lot. So, it doesn't burn when you pee, does it?",mad,neutral,1
2,neutral,Hello?,powerful,joyful,1
2,neutral,Hi.,mad,neutral,1
2,peaceful,"Is that him again? Tell him I'd come to the phone, but my ankles are weighin' me down.",neutral,neutral,1
2,neutral,"Listen, I... I don't think this is the best time.",neutral,neutral,1
2,scared,"Look, can, can you do something for me?",neutral,neutral,1
2,powerful,"Sure, what? Ok, ok. Music?",sad,neutral,1
2,powerful,"The next one's dedicated to Rachel from Ross. Rachel, he wants you to know he's deeply sorry for what he did and he hopes you can find it in your heart to forgive him.",mad,joyful,1
2,joyful,"Uh, we've just gotten a call from Rachel, and she told us what Ross did. It's pretty appalling, and Ross, if you're listening, I don't wanna play your song anymore. Why don't we devote our time to a couple that stands a chance? Avery, Michelle's sorry she hit you with her car and she hopes you two will work it out.",mad,joyful,1
2,neutral,"Hi, thanks for coming in again.",joyful,neutral,1
2,sad,"Oh, not at all. I have no morals and I need the cash.",joyful,joyful,1
2,neutral,"It's like I'm lookin' in a mirror. Anyway, they're called ""fishtachios"". They taste exactly like pistachios, but they're made primarily of reconstituted fish bits. Here, try one. You're not allergic to anything, are you?",no valid emotion found in the response.,neutral,1
2,sad,Cat hair.,joyful,joyful,1
2,sad,"Oh, sorry.",joyful,joyful,1
3,joyful,"Honey, you made the bed again. I told you, you don't have to do that. This isn't camp.",joyful,joyful,1
3,joyful,"Ooh, then I guess the panty raid last night was totally uncalled for. Ok, I am going to take a shower and today I will be singing Jim Crochee's Leroy Brown.",neutral,neutral,1
3,powerful,"Monica... Hey Mon, I have a question. Is Leroy the baddest man in the whole damn town or the fattest man in the whole damn town?",neutral,neutral,1
3,joyful,Baddest. Otherwise the song would be Fat Fat Leroy Brown.,neutral,mad,1
3,neutral,What're you doing?,neutral,mad,1
3,joyful,Just waiting for you sweetie.,joyful,neutral,1
3,neutral,Are you remaking the bed?,joyful,mad,1
3,sad,"I'm sorry, I'm sorry. You know what, the way you did it was just fine.",sad,mad,1
3,neutral,"Then, you're redoing it because...",mad,sad,1
3,sad,"If I tell you, you'll think I'm crazy.",joyful,neutral,1
3,scared,You're pretty much running that risk either way.,mad,neutral,1
3,sad,"Ok, you see, the tag shouldn't be at the top left corner, it should be at the bottom right corner.",sad,neutral,1
3,neutral,"Oh, well that's not so crazy.",mad,mad,1
3,joyful,I'm just easing you in.,mad,neutral,1
3,neutral,"Oh, alright.",sad,neutral,1
3,peaceful,"Alright, you see these little flower blossoms? They should be facing up, not down, because, well, the head of the bed is where the sun would be. You don't love me any more do you.",joyful,neutral,1
3,peaceful,"Actually, if it's possible, I love you more.",scared,mad,1
3,joyful,"Really? Wow, well then come on, I wanna show you how to fold the toilet paper into a point.",scared,joyful,1
3,neutral,"Hey, look Joey, I'm just saying if you need something to hold you over, I can get you a job right here as an entry level processor.",joyful,neutral,1
3,scared,But don't you need experience for a job like that?,neutral,mad,1
3,peaceful,"It's not that hard to learn. And as for people realizing you have no idea what you're doing, hey, you're an actor. Act like a processor, people will think you're a processor.",mad,neutral,1
3,joyful,"Hey Chandler, here's this morning's projections.",sad,scared,1
3,mad,"Hey thanks. Scott Alexander, Joey Tribbianni. Joey is a uh, fellow processor.",sad,neutral,1
3,peaceful,No kidding.,mad,mad,1
3,powerful,"Oh yeah yeah. I process. People want the processing, I'm the one they call.",mad,neutral,1
3,neutral,Where do you work?,joyful,sad,1
3,neutral,"Uhh, well, right now I'm in between things. You know how it is. One day you're processing, the next day you're not so much... processing any more.",no valid emotion found in the response.,neutral,1
3,neutral,I was just telling Joey about the opening in Fleischman's group.,mad,mad,1
3,joyful,"Fleischman's group. Whatever you do, don't touch his sandwiches. Ha-ha-ha...",neutral,neutral,1
3,joyful,Ha-ha. Are all you processors dorks?,neutral,powerful,1
3,joyful,"Oh, this lipstick looks just great on you.",mad,neutral,1
3,joyful,"You look fabulous honey, you really do.",joyful,mad,1
3,joyful,"Yeah? Are you sure, really.",sad,mad,1
3,scared,"You see, you look beautiful. For god sakes, dim the lights.",sad,joyful,1
3,sad,"I, I, I'm hideous.",sad,neutral,1
3,neutral,It's gonna be ok. Ryan's been under water. He's just gonna be so glad that you don't have barnicles on your butt.,sad,mad,1
3,neutral,Come in.,neutral,neutral,1
3,peaceful,"Hey baby, I'm back...",neutral,neutral,1
3,neutral,"Hey Ryan, what's up?",mad,sad,1
3,neutral,What's goin' on?,mad,sad,1
3,sad,"Well, no no, you have to stay back. I, I have the pox.",sad,neutral,1
3,neutral,Chicken or small?,neutral,neutral,1
3,joyful,Chicken. Which is so ironic considering I'm a vegetarian.,joyful,neutral,1
3,neutral,Why aren't you at home in bed?,neutral,neutral,1
3,joyful,"'Cause my, my grandmother's never had chicken pox. Please, please tell me you have, 'cause oh my God, I forgot how cute you are.",scared,neutral,1
3,scared,"I'm sorry, I never had 'em.",scared,neutral,1
3,scared,"Ohh, ohh.",joyful,mad,1
3,powerful,"If I had one wish, it would be to build a time machine, go back to when I was 7, when Jimmy Hauser had the chicken pox. I would grab that kid and rub him all over my face.",mad,mad,1
3,mad,"Yeah, or you know, you could just wish that I didn't have them now.",mad,neutral,1
3,neutral,Can I please see your face?,joyful,neutral,1
3,scared,Nope. You don't want to see a face covered with pox.,joyful,neutral,1
3,peaceful,"Your face could be covered with lochs, I wouldn't care.",joyful,neutral,1
3,scared,"And you hate fish. Oh. That's so sweet, alright. Ok, alright, you can see. This is me... Oh, I am scary.",mad,joyful,1
3,peaceful,"Sorry, the lightning. Lightning was an unfortunate incidence. You look lovely, lovely.",sad,neutral,1
3,sad,"I hate this. 'Cause I tell you, I had the most amazing two weeks planned for us, and almost everything I had in mind, we had to be a lot closer than this.",mad,joyful,1
3,joyful,"Phoebe, I have spent the last eight months in a steel tube with men, thinking about this moment. I am not gonna let a bunch of itchy spots stand between us.",mad,neutral,1
3,joyful,"Ok, this is the most romantic disease I've ever had.",mad,mad,1
3,neutral,Hey.,mad,neutral,1
3,peaceful,"Hey, how's the first day goin'?",neutral,neutral,1
3,peaceful,Pretty good. It's like you said. It's mostly just putting numbers from one column into another column.,neutral,neutral,1
3,neutral,Well there you go.,neutral,neutral,1
3,joyful,"Hey and everbody is so nice. I just had a good talk with that lady with the red hair, Jeannie.",neutral,neutral,1
3,neutral,"Jeannie, the head of east coast operations Jeannie?",joyful,neutral,1
3,joyful,"Yeah, turns out our kids go to the same school. Small world huh?",joyful,neutral,1
3,neutral,Weird world. Your kids?,joyful,neutral,1
3,neutral,I figure my character has kids.,neutral,neutral,1
3,scared,Ya know there isn't a part of that sentence I don't need explained.,neutral,neutral,1
3,joyful,"Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two little girls, Ashley and Brittany. Ashley copies everything Brittany does.",neutral,neutral,1
3,peaceful,"Well, invisible kids can be that way sometimes.",joyful,mad,1
3,joyful,"Yeah. Joseph and his wife, Karen, are thinking of having a third kid... Ya know what? Just did.",neutral,neutral,1
3,joyful,Really? Wow. That's some pretty powerful imaginary sperm you must have there.,mad,neutral,1
3,neutral,You know what makes the itching even worse?,scared,neutral,1
3,neutral,That you don't stop talking about it.,mad,scared,1
3,mad,Fine.,joyful,neutral,1
3,joyful,"Let's just play, ok. Good, ok. Here we go, double sixes, here we go... Here we go, come to mama, just getting ready to roll the dice...",joyful,neutral,1
3,scared,What're you doing? Are you scratching?,joyful,neutral,1
3,powerful,"No. This is what I do for luck, ok.",joyful,joyful,1
3,powerful,You're scratching. Give me the dice.,joyful,neutral,1
3,powerful,No.,neutral,neutral,1
